ID,Is_Lead
VBENBARO,0.050150506
CCMEWNKY,0.8812759
VK3KGA9M,0.054593366
TT8RPZVC,0.024694078
SHQZEYTZ,0.024791611
MZZAQMPT,0.07845204
Y88TW36I,0.10305845
3UGOAQNU,0.05278476
VVUKMUJT,0.99291116
9R363ZXS,0.17499699
BLISM6JE,0.049345843
CH8S7JK7,0.2463899
EAHDPXEJ,0.8417753
BNUK9PRF,0.3011036
GP2PG6FJ,0.0560485
WNQCSN8A,0.04466268
32DN4YVZ,0.43319607
GXAMDANM,0.052711822
MXETLUP4,0.07487348
MPXK6TVE,0.8670669
LBSIME2K,0.17295533
D6ORJTM6,0.04677358
HGDIBAKA,0.8159007
UUZYL9DZ,0.50875264
AUGE3VWK,0.05825527
MX7GOX6Q,0.09175658
TQN6K35W,0.060060777
QQDRMQQN,0.4566887
UP6GC6F4,0.039335016
BMHBUVHB,0.5664735
KGLDW86A,0.17967051
FQEOMOP4,0.11204188
DYWM5MEU,0.19684575
DXHGXV8F,0.072200894
AVFBFQKC,0.19825038
DBIDKYMV,0.1408457
KYZHMEBY,0.21922895
SSFEBUGF,0.053742893
MGJTAG8X,0.5383168
MP6BERDO,0.15065642
GXZ8ED68,0.051630285
ICTFGWQR,0.5938961
EAYHTRKH,0.024791611
6FN97QLQ,0.10407695
3H5MZDDW,0.38781095
2DXZZWSN,0.03691877
MM4QIRE5,0.06623481
HJWVYXUA,0.16982488
RBRSJUP3,0.79739386
YFRQKGXW,0.41598067
N3SADEBV,0.041434374
G2A2YYXY,0.03772115
XMGA3WT3,0.057498515
KVZQPSGI,0.1878585
UAKARBBG,0.048719745
WYKKL85Z,0.22613266
GHNYYGRR,0.103860684
UBAJANWT,0.052898705
LSARSF7U,0.015388401
4CNSJVVR,0.26165202
JRHJSWYO,0.29572883
FHZ8SVVI,0.07123306
JUIRE47M,0.8339835
GDIVN2GL,0.061261896
WMF3DYE3,0.79694635
MAQEHEWK,0.18888094
2W8DLKFU,0.056763954
AKGRML6H,0.1065316
B7WUUGCY,0.04687616
TLJOYATM,0.4404278
UH6ZDM3W,0.8350096
7IP5SSRR,0.7838172
PV85PMEB,0.4736834
FGDOY4NI,0.12819572
7YYIXJQE,0.05970125
BHW42XPW,0.060352977
3PKEEAT4,0.27208915
ACFPZ3LM,0.052854612
6GORGNYN,0.8190012
AEPQTMJK,0.2417286
S6FNZFKK,0.053289536
JTYNEKRQ,0.6809817
GPXDPHHC,0.060678616
O8TMKNNB,0.06594373
XSQVHKYG,0.054874256
MJ3CZRAE,0.02359496
3NSQEYBJ,0.4409971
SXVBASGH,0.050688267
5ZIGZYSS,0.04262262
FQSHBCUT,0.36629274
MU45XUBP,0.05448732
BVULDPBI,0.06621913
82GRNPFG,0.83236384
KKBNELBF,0.047316775
HXQGBDGY,0.054424554
28HDZICG,0.56519294
GHBPKPJC,0.05118672
FDWZFSSC,0.8575107
FWTIWZF3,0.055147048
JYMHVPMY,0.043110535
AHUDO2T6,0.8488378
ACDHABS3,0.24402389
5NTYJJDV,0.065702155
2M4VPY4V,0.10815894
KAHP9XLF,0.08814476
YRLEWZFQ,0.101739794
JZWVLXHJ,0.17055011
JZZSXUKT,0.25922355
93RURE2J,0.89233476
4RNB6FDV,0.2388403
27E7HMMG,0.071744874
2QEFQQWN,0.052707344
DDTCD2XI,0.07416345
VGVEYSEG,0.8107108
WCXVE7RK,0.053841036
RTN4R3UE,0.046602223
K2PVS4RB,0.050330985
Q36J686Z,0.105406865
NWKHMEOF,0.14073789
PVJYQQGT,0.27870175
GPUMRNWC,0.05287661
LXHCDSVH,0.16922921
BNIUPSVK,0.08321613
FW3QI3WW,0.07237149
IEEUGXMY,0.8397237
FVVXDLBO,0.05578224
UC2JJB6Y,0.075377695
3WPAHP52,0.48510295
HDTCJJOE,0.5365966
UCSB9GKK,0.069107346
HANBFYTH,0.11250074
FLUU2HNV,0.052614994
64PIYWDJ,0.22237374
9AHNH8ZX,0.871833
KLHUI2SE,0.05454922
YRHYUJFW,0.83641505
G5RWWH7F,0.13300058
SCBT9BAX,0.018297302
UGZGLVNB,0.2662437
2RRNUFBV,0.82981783
B6O59TEY,0.46360773
CYHRRYH6,0.049660426
GGYZVHWU,0.07636287
K6AM97RN,0.07483303
ATM5JQYM,0.07398643
7GYZSGWA,0.047035005
DFWUDQCR,0.2029288
E2Z98CR3,0.8452802
GD9KTSLY,0.05427202
2AMRA4OD,0.10018146
CFHZ3ZE6,0.43840316
BOMLVM5K,0.051645152
OBBEGBSY,0.4654122
FJEHOK8W,0.03924829
3GMAEVPJ,0.0942328
WAVDLUTH,0.05823384
6EN8GZX6,0.10976303
VXGA3GKB,0.178959
U4MZ3U8C,0.4819528
GU4RDP8S,0.8599851
N3TPNHCD,0.09855664
JRRHWQC8,0.594969
NZ5GBHZK,0.044295017
LCUC2LAJ,0.84559876
DJDSU9D2,0.8986747
647K6DBR,0.06779722
7NFXVESK,0.0757989
EWUWF25N,0.05236611
7QKYPLA8,0.05649279
XQVXWBNO,0.056156766
CNWH4MVA,0.05742366
AFJUJFQD,0.07854725
QKMFDX9H,0.17718701
YYMB5QBY,0.06155498
IRY3SEX7,0.2474664
CUAUZJH8,0.19144936
JYFUYQF5,0.30851108
I4NYEDFE,0.4910187
M3RSPRGQ,0.13469179
JIL3KWQN,0.118739925
X4B5ZBWU,0.15438022
AHYTHHSE,0.052282482
E7EHQEQK,0.3528715
FAMHAVN3,0.7976005
CCGKCTR6,0.06388702
6DTSELRV,0.05918078
LU8X3G6O,0.23047136
NPFDAUJY,0.0532928
DR9PXCFU,0.02571492
SHVZMWBV,0.058226686
8TGXGZHX,0.22281612
IKRSHJFW,0.17144026
TYKRZDCP,0.4513556
9IDA3L7P,0.10449771
ASOWCMDB,0.048785202
KZ5J2JGC,0.8308034
D5UCFKTV,0.053522605
2N8FFP7W,0.04441659
SA36MTFS,0.027070835
8UDMURUH,0.10850633
7VSQV6QN,0.13359506
