ID,Is_Lead
VBENBARO,0.038195956
CCMEWNKY,0.888126
VK3KGA9M,0.047199026
TT8RPZVC,0.024354216
SHQZEYTZ,0.021420732
MZZAQMPT,0.057175092
Y88TW36I,0.080858104
3UGOAQNU,0.052608173
VVUKMUJT,0.9932233
9R363ZXS,0.1412958
BLISM6JE,0.05794091
CH8S7JK7,0.24106933
EAHDPXEJ,0.79447204
BNUK9PRF,0.5248075
GP2PG6FJ,0.052608173
WNQCSN8A,0.028814903
32DN4YVZ,0.40091956
GXAMDANM,0.050689667
MXETLUP4,0.09818052
MPXK6TVE,0.8985358
LBSIME2K,0.16856787
D6ORJTM6,0.049408134
HGDIBAKA,0.8051125
UUZYL9DZ,0.43598574
AUGE3VWK,0.050176147
MX7GOX6Q,0.07934836
TQN6K35W,0.08010821
QQDRMQQN,0.49197772
UP6GC6F4,0.037765227
BMHBUVHB,0.41692016
KGLDW86A,0.16504566
FQEOMOP4,0.11923422
DYWM5MEU,0.18123852
DXHGXV8F,0.04638442
AVFBFQKC,0.19107975
DBIDKYMV,0.14611039
KYZHMEBY,0.2203274
SSFEBUGF,0.052608173
MGJTAG8X,0.46857974
MP6BERDO,0.16950822
GXZ8ED68,0.046151426
ICTFGWQR,0.3856405
EAYHTRKH,0.021420732
6FN97QLQ,0.12550041
3H5MZDDW,0.35931993
2DXZZWSN,0.037449386
MM4QIRE5,0.06337189
HJWVYXUA,0.21141924
RBRSJUP3,0.60560465
YFRQKGXW,0.6020123
N3SADEBV,0.047288366
G2A2YYXY,0.02462341
XMGA3WT3,0.04570298
KVZQPSGI,0.22141601
UAKARBBG,0.040148478
WYKKL85Z,0.22321752
GHNYYGRR,0.13968197
UBAJANWT,0.04355801
LSARSF7U,0.025829041
4CNSJVVR,0.1581072
JRHJSWYO,0.289161
FHZ8SVVI,0.062539406
JUIRE47M,0.9081614
GDIVN2GL,0.07779737
WMF3DYE3,0.75856596
MAQEHEWK,0.15440984
2W8DLKFU,0.052608173
AKGRML6H,0.10699205
B7WUUGCY,0.04044516
TLJOYATM,0.4273923
UH6ZDM3W,0.9002282
7IP5SSRR,0.85481435
PV85PMEB,0.55749625
FGDOY4NI,0.118084215
7YYIXJQE,0.050212044
BHW42XPW,0.054464553
3PKEEAT4,0.26481834
ACFPZ3LM,0.044773754
6GORGNYN,0.84131634
AEPQTMJK,0.24106933
S6FNZFKK,0.05831635
JTYNEKRQ,0.5082439
GPXDPHHC,0.06244191
O8TMKNNB,0.056571558
XSQVHKYG,0.052608173
MJ3CZRAE,0.021420732
3NSQEYBJ,0.5303662
SXVBASGH,0.046151426
5ZIGZYSS,0.0459392
FQSHBCUT,0.3153117
MU45XUBP,0.04999527
BVULDPBI,0.052281324
82GRNPFG,0.88233644
KKBNELBF,0.040148478
HXQGBDGY,0.048549753
28HDZICG,0.5790857
GHBPKPJC,0.043981683
FDWZFSSC,0.8824707
FWTIWZF3,0.052608173
JYMHVPMY,0.034740686
AHUDO2T6,0.82962686
ACDHABS3,0.2263193
5NTYJJDV,0.050924405
2M4VPY4V,0.09327031
KAHP9XLF,0.10042456
YRLEWZFQ,0.059532266
JZWVLXHJ,0.17575271
JZZSXUKT,0.3128967
93RURE2J,0.90373236
4RNB6FDV,0.25360525
27E7HMMG,0.03068588
2QEFQQWN,0.050230913
DDTCD2XI,0.09339326
VGVEYSEG,0.79445094
WCXVE7RK,0.055852164
RTN4R3UE,0.06349588
K2PVS4RB,0.07430176
Q36J686Z,0.11077431
NWKHMEOF,0.13885812
PVJYQQGT,0.354404
GPUMRNWC,0.048317388
LXHCDSVH,0.15888953
BNIUPSVK,0.07771497
FW3QI3WW,0.11071616
IEEUGXMY,0.78988034
FVVXDLBO,0.050689667
UC2JJB6Y,0.07449002
3WPAHP52,0.46042767
HDTCJJOE,0.53903866
UCSB9GKK,0.0793352
HANBFYTH,0.1192276
FLUU2HNV,0.050150838
64PIYWDJ,0.24046892
9AHNH8ZX,0.8326078
KLHUI2SE,0.016959263
YRHYUJFW,0.78544784
G5RWWH7F,0.096388236
SCBT9BAX,0.020289613
UGZGLVNB,0.29405567
2RRNUFBV,0.7819296
B6O59TEY,0.4459313
CYHRRYH6,0.05062728
GGYZVHWU,0.06889265
K6AM97RN,0.0793352
ATM5JQYM,0.0793352
7GYZSGWA,0.05773026
DFWUDQCR,0.16034254
E2Z98CR3,0.7920846
GD9KTSLY,0.050689667
2AMRA4OD,0.09095342
CFHZ3ZE6,0.42028004
BOMLVM5K,0.049187634
OBBEGBSY,0.3852117
FJEHOK8W,0.02462341
3GMAEVPJ,0.12691706
WAVDLUTH,0.052076284
6EN8GZX6,0.09423007
VXGA3GKB,0.21681184
U4MZ3U8C,0.49268347
GU4RDP8S,0.8351522
N3TPNHCD,0.08418686
JRRHWQC8,0.598055
NZ5GBHZK,0.034740686
LCUC2LAJ,0.7864925
DJDSU9D2,0.96925896
647K6DBR,0.063330665
7NFXVESK,0.12022892
EWUWF25N,0.050689667
7QKYPLA8,0.04639796
XQVXWBNO,0.052608173
CNWH4MVA,0.049383014
AFJUJFQD,0.11614675
QKMFDX9H,0.16720085
YYMB5QBY,0.05206027
IRY3SEX7,0.24312097
CUAUZJH8,0.1537825
JYFUYQF5,0.28093678
I4NYEDFE,0.61510235
M3RSPRGQ,0.14556792
JIL3KWQN,0.10009568
X4B5ZBWU,0.13410756
AHYTHHSE,0.052608173
E7EHQEQK,0.39185604
FAMHAVN3,0.8491616
CCGKCTR6,0.065971844
6DTSELRV,0.0592857
LU8X3G6O,0.22964464
NPFDAUJY,0.054645237
DR9PXCFU,0.020736208
SHVZMWBV,0.038293954
8TGXGZHX,0.2465958
IKRSHJFW,0.16220286
TYKRZDCP,0.56003976
